Customer ID ,Customer Name,Email,Phone no.,Adress line 1,Country,Postcode,Loyality Card
17671-51939-MA,Zai,zai12@gmail.com,,sector7 house no9,Pakistan,105232,Yes
17672-51939-MA,Rose,rose72@gmail.com,,flat8 bulding 8 dc road ,Pakistan,105232,Yes
17673-51939-MA,Lily,lily23@gmail.com,,bulding near D-mart,Pakistan,105232,Yes
17674-51939-MA,Rean,rean8@gmail.com,,hall city road 2-4,UK,237891,Yes
17675-51939-MA,Fadi,fadio3@gmail.com,,sector7 house no9,Pakistan,105232,Yes
17676-51939-MA,Snobr,snobr@gmail.com,,mmu road 9-62D,UK,237891,NO
17677-51939-MA,Robin,rbion@gmail.com,,95-b iceland,Iceland,724351,Yes
17678-51939-MA,Lone,lone@gmail.com,,flat8 bulding 8 dc road ,Pakistan,105232,Yes
17679-51939-MA,Ben,ben5@gmail.com,,95-b iceland,Iceland,724351,Yes
17680-51939-MA,Ten,ten78@gmail.com,,5U-9D london,UK,237891,Yes
17681-51939-MA,Iron ,iron9@gmail.com,,9MMhall free canada,Canada,626266,NO
17682-51939-MA,Thor,thor56@gmail.com,,mmu road 9-62D,UK,237891,NO
17683-51939-MA,Shuzka,shuziii@gmail.com,,R7-3Dwales,UK,237891,NO
17684-51939-MA,Nobita,nobbiii@gmail.com,,5U-9D london,UK,237891,NO
17685-51939-MA,Gian,gian67@gmail.com,,bulding near D-mart,Pakistan,105232,Yes
17687-51939-MA,Sunio,suniooo@gmail.com,,R7-3Dwales,UK,237891,Yes
17686-51939-MA,Dora,dora8@gmail.com,,95-b iceland,Iceland,724351,Yes
17688-51939-MA,Dorien,dorieee@gmail.com,,9MMhall free canada,Canada,626266,Yes
17689-51939-MA,Danyal,danyal@gmail.com,,hall city road 2-4,UK,237891,Yes
17690-51939-MA,Zaid,zaid@gmail.com,,sector7 house no9,Pakistan,105232,NO
17691-51939-MA,Zawar,zawar@gmail.com,,R7-3Dwales,UK,237891,Yes
17670921939-MA,Zeshan ,zehan@gmail.com,,5U-9D london,UK,237891,NO
17693-51939-MA,Mosa,mosa@gmail.com,,9MMhall free canada,Canada,626266,Yes
17694-51939-MA,Arham,arham@gmail.com,,R7-3Dwales,UK,237891,Yes
17695-51939-MA,Ahad,ahad67@gmail.com,,street road germany ,Germany,888889,Yes
17696-51939-MA,Najam ,najam@gmail.com,,95-b iceland,Iceland,724351,Yes
17697-51939-MA,Rehman ,rehman@gmail.com,,mmu road 9-62D,UK,237891,Yes
17698-51939-MA,Daud,daud@gmail.com,,street road germany ,Germany,888889,Yes
17699-51939-MA,Qamar,qamar@gmail.com,,flat8 bulding 8 dc road ,Pakistan,105232,NO
17670-51939-NZ,Skinder,skinder@gmail.com,,R7-3Dwales,UK,237891,NO
17670-51939-ME,Shahbaz,shahbaz@gmail.com,,street road germany ,Germany,888889,NO
17670-51940-ME,Danyal,danyal009@gmail.com,,9MMhall free canada,Canada,626266,NO
17670-51941-ME,Subhan,subna@gmail.com,,TYF-89-italy,Italy,787222,NO
17670-51942-ME,Shan,shan00@gmail.com,,street road germany ,Germany,888889,NO
17670-51943-ME,Roman,roman@gmail.com,,TYF-89-italy,Italy,787222,Yes
17670-51945-ME,Tayyab,trayyab@gmail.com,,R7-3Dwales,UK,237891,Yes
17670-51946-ME,Kashif,kashif@gmail.com,,street 78-flat9 dubi,Dubi,230000,Yes
17670-51947-ME,Ali,ali990@gmail.com,,TYF-89-italy,Italy,787222,Yes
17670-51948-ME,Vivi,vivi90090@gmail.com,,9MMhall free canada,Canada,626266,Yes
17670-51949-ME,Ahsan,ahsna@gmail.com,,5U-9D london,UK,237891,Yes
17670-51950-ME,Ahad mir,ahadm09@gmail.com,,R7-3Dwales,UK,237891,NO
17670-51958-ME,Sarmad ,sarmad34@gmail.com,,95-b iceland,Iceland,724351,NO
17670-51952-ME,Moin ,moin32@gmail.com,,street road germany ,Germany,888889,NO
17670-51953-ME,Sana,sana56@gmail.com,,sector7 house no9,Pakistan,105232,NO
17670-51954-ME,Amna,amna56@gmail.com,,TYF-89-italy,Italy,787222,Yes
17670-51955-ME,Juan,juan56@gmail.com,,5U-9D london,uk,237891,NO
17670-51956-ME,Doug,doug56@gmail.com,,95-b iceland,Iceland,724351,Yes
17670-51973-ME,Charlie,charlie56@gmail.com,,bulding near D-mart,Pakistan,105232,NO
17670-51958-ME,Doug,doug56@gmail.com,,mmu road 9-62D,UK,237891,NO
17670-51959-ME,Helen,helen56@gmail.com,,flat8 bulding 8 dc road ,Pakistan,105232,NO
17670-51960-ME,Doug,doug56@gmail.com,,9MMhall free canada,Canada,626266,Yes
17670-51961-ME,Doug,doug56@gmail.com,,hall city road 2-4,UK,237891,Yes
16820-62826-QW,Juan,juan56@gmail.com,,street road germany ,Germany,888889,Yes
16820-62836-QW,Doug,doug56@gmail.com,,TYF-89-italy,Italy,787222,Yes
16820-62846-QW,Helen,helen56@gmail.com,,R7-3Dwales,UK,237891,Yes
16820-62526-QW,Charlie,charlie56@gmail.com,,95-b iceland,Iceland,724351,Yes
16820-62866-QW,Helen,helen56@gmail.com,,9MMhall free canada,Canada,626266,Yes
16820-62876-QW,Juan,juan56@gmail.com,,5U-9D london,UK,237891,Yes
16820-62886-QW,Doug,doug56@gmail.com,,street 78-flat9 dubi,Dubi,230000,NO
16820-62896-QW,Helen,helen56@gmail.com,,TYF-89-italy,Italy,787222,NO
16820-62800-QW,Charlie,charlie56@gmail.com,,R7-3Dwales,UK,237891,NO
16820-62828-QW,Doug,doug56@gmail.com,,street road germany ,Germany,888889,NO
16820-62876-QW,Juan,juan56@gmail.com,,9MMhall free canada,Canada,626266,Yes
16820-62823-QW,Helen,helen56@gmail.com,,TYF-89-italy,Italy,787222,Yes
16820-62829-QW,Charlie,charlie56@gmail.com,,95-b iceland,Iceland,724351,Yes
17383-76832-SD1,Juan,juan56@gmail.com,,street 78-flat9 dubi,Dubi,230000,Yes
17383-76832-SD2,Doug,doug56@gmail.com,,R7-3Dwales,UK,237891,Yes
17383-76832-SD3,Charlie,charlie56@gmail.com,,street road germany ,Germany,888889,Yes
17383-76832-SD4,Doug,doug56@gmail.com,,9MMhall free canada,Canada,626266,Yes
17383-76832-SD5,Helen,helen56@gmail.com,,hall city road 2-4,UK,237891,Yes
17383-76832-SD6,Doug,doug56@gmail.com,,R7-3Dwales,UK,237891,Yes
17383-76832-SD7,Doug,doug56@gmail.com,,9MMhall free canada,Canada,626266,Yes
17383-76832-SD8,Juan,juan56@gmail.com,,mmu road 9-62D,UK,237891,Yes
17383-76832-SD9,Doug,doug56@gmail.com,,sector7 house no9,Pakistan,105232,Yes
17383-76832-SD10,Helen,helen56@gmail.com,,street 78-flat9 dubi,Dubi,230000,Yes
17383-76832-SD11,Charlie,charlie56@gmail.com,,5U-9D london,UK,237891,NO
17383-76832-SD12,Helen,helen56@gmail.com,,street road germany ,Germany,888889,NO
17383-76832-SD13,Juan,juan56@gmail.com,,R7-3Dwales,UK,237891,Yes
17383-76832-SD14,Doug,doug56@gmail.com,,TYF-89-italy,Italy,787222,Yes
