Order ID ,Order Data,Customer ID ,Product ID,Product ,Quantity ,Customer Name,Email,Country,Column1,Size,unit price,Sales,Imported ,Exported ,Loyality card 
QEV-37451-860,05/09/2019,17671-51939-MA,R-M-1,Phone,3,Zai,zai12@gmail.com,Pakistan,Electronic,Small,2.3,14,9,2,Yes
QEV-37452-860,06/09/2019,17672-51939-MA,K-T-2,AC,4,Rose,rose72@gmail.com,Pakistan,Japan Electronic,2 unit ,340.45,15,10,1,Yes
QEV-37453-861,07/09/2019,17673-51939-MA,R-M-3,Micro,7,Lily,lily23@gmail.com,Pakistan,Japan Electronic,1 unit,369,18,13,0,Yes
QEV-37454-862,08/07/2019,17674-51939-MA,O-P-2,Phone,9,Rean,rean8@gmail.com,UK,Electronic,Ipone,2.3,20,15,0,Yes
QEV-37455-863,09/04/2019,17675-51939-MA,R-M-5,Laptop,1,Fadi,fadio3@gmail.com,Pakistan,Electronic,Core i5,45,12,7,4,Yes
QEV-37456-864,10/08/2019,17676-51939-MA,R-M-3,Computer,4,Snobr,snobr@gmail.com,UK,Electronic,Samsung,75,15,10,1,NO
QEV-37417-865,11/02/2019,17677-51939-MA,B-N-9,Charger,6,Robin,rbion@gmail.com,Iceland,Electronic,2 Watt,2,17,12,0,Yes
QEV-37458-866,12/09/2019,17678-51939-MA,H-T-9,phone,3,Lone,lone@gmail.com,Pakistan,Electronic,Ipone,2,14,9,2,Yes
QEV-37456-868,13/01/2019,17679-51939-MA,K-T-2,AC,6,Ben,ben5@gmail.com,Iceland,Japan Electronic,1 unit,340,17,12,0,Yes
QEV-374560-868,14/09/2020,17680-51939-MA,Z-T-3,AC,3,Ten,ten78@gmail.com,UK,Japan Electronic,2 unit ,348,14,9,2,Yes
QEV-374561-869,15/04/2019,17681-51939-MA,R-M-3,Phone,5,Iron ,iron9@gmail.com,Canada,Electronic,Android,2,16,11,0,NO
QEV-374562-870,16/01/2019,17682-51939-MA,K-T-2,Phone,1,Thor,thor56@gmail.com,UK,Electronic,Android,3,12,7,4,NO
QEV-374563-871,17/09/2019,17683-51939-MA,B-N-9,Mouse,7,Shuzka,shuziii@gmail.com,UK,Electronic,Digital,1,18,13,0,NO
QEV-374564-872,18/09/2019,17684-51939-MA,O-P-2,Laptop,2,Nobita,nobbiii@gmail.com,UK,Electronic,Core i5,83,13,8,3,NO
QEV-374565-873,19/09/2019,17685-51939-MA,R-M-1,Laptop,8,Gian,gian67@gmail.com,Pakistan,Electronic,Core i5,70,19,14,0,Yes
QEV-374566-874,20/04/2019,17687-51939-MA,L-W-7,Micro,9,Sunio,suniooo@gmail.com,UK,Japan Electronic,1 unit,340,20,15,0,Yes
