order_id,order_date,customer_id,product_id,product,quantity,customer_name,email,country,type,size,unit_price,sales,imported,exported,loyalty_card
QEV-37451-860,2019-09-05,17671-51939-MA,R-M-1,Phone,3,Zai,zai12@gmail.com,Pakistan,Electronic,Small,2.3,14,9,2,Yes
QEV-37452-860,2019-09-06,17672-51939-MA,K-T-2,AC,4,Rose,rose72@gmail.com,Pakistan,Japan Electronic,2 unit,340.45,15,10,1,Yes
QEV-37453-861,2019-09-07,17673-51939-MA,R-M-3,Micro,7,Lily,lily23@gmail.com,Pakistan,Japan Electronic,1 unit,369,18,13,0,Yes
QEV-37454-862,2019-07-08,17674-51939-MA,O-P-2,Phone,9,Rean,rean8@gmail.com,UK,Electronic,Ipone,2.3,20,15,0,Yes
QEV-37455-863,2019-04-09,17675-51939-MA,R-M-5,Laptop,1,Fadi,fadio3@gmail.com,Pakistan,Electronic,Core i5,45,12,7,4,Yes
QEV-37456-864,2019-08-10,17676-51939-MA,R-M-3,Computer,4,Snobr,snobr@gmail.com,UK,Electronic,Samsung,75,15,10,1,No
QEV-37417-865,2019-02-11,17677-51939-MA,B-N-9,Charger,6,Robin,rbion@gmail.com,Iceland,Electronic,2 Watt,2,17,12,0,Yes
QEV-37458-866,2019-09-12,17678-51939-MA,H-T-9,Phone,3,Lone,lone@gmail.com,Pakistan,Electronic,Ipone,2,14,9,2,Yes
QEV-37459-867,2019-01-13,17679-51939-MA,K-T-2,AC,6,Ben,ben5@gmail.com,Iceland,Japan Electronic,1 unit,340,17,12,0,Yes
QEV-374560-868,2020-09-14,17680-51939-MA,Z-T-3,AC,3,Ten,ten78@gmail.com,UK,Japan Electronic,2 unit,348,14,9,2,Yes
QEV-374561-869,2019-04-15,17681-51939-MA,R-M-3,Phone,5,Iron,iron9@gmail.com,Canada,Electronic,Android,2,16,11,0,No
QEV-374562-870,2019-01-16,17682-51939-MA,K-T-2,Phone,1,Thor,thor56@gmail.com,UK,Electronic,Android,3,12,7,4,No
QEV-374563-871,2019-09-17,17683-51939-MA,B-N-9,Mouse,7,Shuzka,shuziii@gmail.com,UK,Electronic,Digital,1,18,13,0,No
QEV-374564-872,2019-09-18,17684-51939-MA,O-P-2,Laptop,2,Nobita,nobbiii@gmail.com,UK,Electronic,Core i5,83,13,8,3,No
QEV-374565-873,2019-09-19,17685-51939-MA,R-M-1,Laptop,8,Gian,gian67@gmail.com,Pakistan,Electronic,Core i5,70,19,14,0,Yes
QEV-374566-874,2019-04-20,17687-51939-MA,L-W-7,Micro,9,Sunio,suniooo@gmail.com,UK,Japan Electronic,1 unit,340,20,15,0,Yes
QEV-374567-875,2019-02-21,17686-51939-MA,H-T-9,Mouse,2,Dora,dora8@gmail.com,Iceland,Electronic,2 unit,1,13,8,3,Yes
QEV-374568-876,2019-09-22,17688-51939-MA,O-P-2,Pen,7,Dorien,dorieee@gmail.com,Canada,Electronic,Balpoint,0.01,18,13,0,Yes
QEV-374569-877,2019-02-23,17689-51939-MA,Z-T-3,Pen,2,Danyal,danyal@gmail.com,UK,Electronic,Balpoint,0.1,13,8,3,Yes
QEV-37470-878,2019-01-24,17690-51939-MA,R-M-3,Fan,1,Zaid,zaid@gmail.com,Pakistan,Electronic,Remote,20,12,7,4,No
QEV-37471-879,2024-09-25,17691-51939-MA,K-T-2,Fan,5,Zawar,zawar@gmail.com,UK,Electronic,Remote,20,16,11,0,Yes
QEV-37472-880,2019-02-26,17670921939-MA,B-N-9,Fan,7,Zeshan,zehan@gmail.com,UK,Electronic,Remote,20,18,13,0,No
QEV-37473-881,2019-09-27,17693-51939-MA,L-W-7,AC,3,Mosa,mosa@gmail.com,Canada,Japan Electronic,,234,14,9,2,Yes
QEV-37474-882,2019-03-28,17694-51939-MA,R-M-1,Fan,9,Arham,arham@gmail.com,UK,Electronic,Remote,20,20,15,0,Yes
QEV-37475-883,2019-07-29,17695-51939-MA,Z-T-3,Blub,2,Ahad,ahad67@gmail.com,Germany,Electronic,20 watt,12,13,8,3,Yes
QEV-37476-884,2019-05-30,17696-51939-MA,H-T-9,Phone,3,Najam,najam@gmail.com,Iceland,Electronic,Ipone,2,14,9,2,Yes
QEV-37477-885,2019-10-01,17697-51939-MA,L-W-7,Laptop,2,Rehman,rehman@gmail.com,UK,Electronic,Core i5,70,13,8,3,Yes
QEV-37478-886,2019-10-02,17698-51939-MA,Z-T-3,Phone,2,Daud,daud@gmail.com,Germany,Electronic,Android,2,13,8,3,Yes
QEV-37479-887,2019-10-03,17699-51939-MA,L-W-7,Mouse,6,Qamar,qamar@gmail.com,Pakistan,Electronic,Digital,1,17,12,0,No
QEV-37451-888,2019-03-04,17670-51939-NZ,O-P-2,Phone,2,Skinder,skinder@gmail.com,UK,Electronic,Android,2,13,8,3,No
QEV-37451-889,2019-10-05,17670-51939-ME,B-N-9,Phone,3,Shahbaz,shahbaz@gmail.com,Germany,Electronic,Android,2,14,9,2,No
QEV-37451-890,2019-10-06,17670-51940-ME,L-W-7,Phone,4,Danyal,danyal009@gmail.com,Canada,Electronic,Android,2,15,10,1,No
QEV-37451-891,2024-04-07,17670-51941-ME,K-T-2,Phone,5,Subhan,subna@gmail.com,Italy,Electronic,Ipone,2,16,11,0,No
QEV-37451-892,2019-04-08,17670-51942-ME,L-W-7,Blub,5,Shan,shan00@gmail.com,Germany,Electronic,20 watt,12,16,11,0,No
QEV-37451-893,2019-04-09,17670-51943-ME,R-M-1,AC,5,Roman,roman@gmail.com,Italy,Japan Electronic,,340,16,11,0,Yes
QEV-37451-894,2019-03-10,17670-51945-ME,R-M-3,Laptop,6,Tayyab,trayyab@gmail.com,UK,Electronic,Core i5,70,17,12,0,Yes
QEV-37451-895,2019-05-11,17670-51946-ME,Z-T-3,Blub,1,Kashif,kashif@gmail.com,Dubi,Electronic,20 watt,12,12,7,4,Yes
QEV-37451-896,2019-05-12,17670-51947-ME,H-T-9,Fan,7,Ali,ali990@gmail.com,Italy,Electronic,Remote,23,18,13,0,Yes
QEV-37451-897,2023-05-13,17670-51948-ME,L-W-7,Blub,2,Vivi,vivi90090@gmail.com,Canada,Electronic,20 watt,12,13,8,3,Yes
QEV-37451-898,2019-10-14,17670-51949-ME,G-T-8,Phone,5,Ahsan,ahsna@gmail.com,UK,Electronic,Android,2,16,11,0,Yes
QEV-37451-899,2019-06-15,17670-51950-ME,R-J-4,Mouse,2,Ahad mir,ahadm09@gmail.com,UK,Electronic,Digital,1,13,8,3,No
QEV-37451-900,2019-06-16,17670-51958-ME,K-T-2,Phone,9,Sarmad,sarmad34@gmail.com,Iceland,Electronic,Android,2,20,15,0,No
QEV-37451-901,2023-10-17,17670-51952-ME,O-P-2,Phone,1,Moin,moin32@gmail.com,Germany,Electronic,Ipone,2,12,7,4,No
QEV-37451-902,2019-10-18,17670-51953-ME,B-N-9,Washing Machine,5,Sana,sana56@gmail.com,Pakistan,Japan Electronic,Automatic,340,16,11,0,No
QEV-37451-903,2019-06-19,17670-51954-ME,R-M-3,Washing Machine,1,Amna,amna56@gmail.com,Italy,Japan Electronic,Automatic,500,12,7,4,Yes
QEV-37451-904,2019-01-20,17670-51955-ME,Z-T-3,Washing Machine,9,Juan,juan56@gmail.com,UK,Japan Electronic,,590,20,15,0,No
QEV-37451-905,2019-07-21,17670-51956-ME,H-T-9,Laptop,1,Doug,doug56@gmail.com,Iceland,Electronic,Core i5,70,12,7,4,Yes
QEV-37451-906,2019-07-22,17670-51973-ME,L-W-7,AC,4,Charlie,charlie56@gmail.com,Pakistan,Electronic,,340,15,10,1,No
QEV-37451-907,2019-08-23,17670-51958-ME,Z-T-3,Blub,5,Doug,doug56@gmail.com,UK,Electronic,,12,16,11,0,No
QEV-37451-908,2019-08-24,17670-51959-ME,G-T-8,Washing Machine,2,Helen,helen56@gmail.com,Pakistan,Japan Electronic,Digital,340,13,8,3,No
QEV-37451-909,2019-08-25,17670-51960-ME,B-N-9,Fan,2,Doug,doug56@gmail.com,Canada,Electronic,Automatic,30,13,8,3,Yes
QEV-37451-910,2023-09-26,17670-51961-ME,R-J-4,Blub,3,Doug,doug56@gmail.com,UK,Electronic,,12,14,9,2,Yes
QEV-37451-911,2019-11-27,16820-62826-QW,R-M-3,Phone,2,Juan,juan56@gmail.com,Germany,Electronic,Ipone,2,13,8,3,Yes
QEV-37451-912,2019-12-28,16820-62836-QW,K-T-2,Phone,2,Doug,doug56@gmail.com,Italy,Electronic,Ipone,2,13,8,3,Yes
QEV-37451-913,2024-12-29,16820-62846-QW,O-P-2,Phone,2,Helen,helen56@gmail.com,UK,Electronic,Ipone,2,13,8,3,Yes
QEV-37451-914,2019-10-30,16820-62526-QW,R-M-1,Laptop,2,Charlie,charlie56@gmail.com,Iceland,Electronic,Core i5,70,13,8,3,Yes
QEV-37451-915,2019-05-31,16820-62866-QW,B-N-9,AC,3,Helen,helen56@gmail.com,Canada,Japan Electronic,2 Ton,340,14,9,2,Yes
QEV-37451-916,2019-05-01,16820-62876-QW,Z-T-3,AC,2,Juan,juan56@gmail.com,UK,Japan Electronic,3 Ton,340,13,8,3,Yes
QEV-37451-917,2023-11-02,16820-62886-QW,H-T-9,Mouse,2,Doug,doug56@gmail.com,Dubi,Electronic,Digital,1,13,8,3,No
QEV-37451-918,2019-11-03,16820-62896-QW,G-T-8,AC,1,Helen,helen56@gmail.com,Italy,Japan Electronic,3 Ton,340,12,7,4,No
QEV-37451-919,2019-11-04,16820-62800-QW,L-W-7,Camera,1,Charlie,charlie56@gmail.com,UK,Japan Electronic,Digital,21,12,7,4,No
QEV-37451-920,2019-11-05,16820-62828-QW,B-N-9,Washing Machine,1,Doug,doug56@gmail.com,Germany,Japan Electronic,,500,12,7,4,No
QEV-37451-921,2023-11-06,16820-62876-QW,R-M-3,Phone,4,Juan,juan56@gmail.com,Canada,Electronic,Ipone,2,15,10,1,Yes
QEV-37451-922,2022-11-07,16820-62823-QW,K-T-2,Phone,4,Helen,helen56@gmail.com,Italy,Electronic,Ipone,2,15,10,1,Yes
QEV-37451-923,2019-11-08,16820-62829-QW,R-M-1,Blub,3,Charlie,charlie56@gmail.com,Iceland,Electronic,,12,14,9,2,Yes
QEV-37451-924,2019-07-09,17383-76832-SD1,O-P-2,Fan,2,Juan,juan56@gmail.com,Dubi,Electronic,Digital,32,13,8,3,Yes
QEV-37451-925,2019-12-10,17383-76832-SD2,Z-T-3,Camera,3,Doug,doug56@gmail.com,UK,Electronic,Digital,21,14,9,2,Yes
QEV-37451-926,2019-11-11,17383-76832-SD3,B-N-9,Laptop,2,Charlie,charlie56@gmail.com,Germany,Electronic,Core i5,70,13,8,3,Yes
QEV-37451-927,2019-11-12,17383-76832-SD4,G-T-8,Phone,3,Doug,doug56@gmail.com,Canada,Electronic,Ipone,2,14,9,2,Yes
QEV-37451-928,2019-11-13,17383-76832-SD5,Z-T-3,Phone,3,Helen,helen56@gmail.com,UK,Electronic,Ipone,2,14,9,2,Yes
QEV-37451-929,2019-11-14,17383-76832-SD6,H-T-9,AC,3,Doug,doug56@gmail.com,UK,Japan Electronic,,340,14,9,2,Yes
QEV-37451-930,2019-11-15,17383-76832-SD7,R-M-3,AC,3,Doug,doug56@gmail.com,Canada,Japan Electronic,,340,14,9,2,Yes
QEV-37451-931,2019-11-16,17383-76832-SD8,O-P-2,AC,3,Juan,juan56@gmail.com,UK,,,340,14,9,2,Yes
QEV-37451-932,2019-11-17,17383-76832-SD9,R-J-4,Washing Machine,3,Doug,doug56@gmail.com,Pakistan,Japan Electronic,Digital,500,14,9,2,Yes
QEV-37451-933,2019-08-18,17383-76832-SD10,I-O-6,Phone,3,Helen,helen56@gmail.com,Dubi,Electronic,Ipone,2,14,9,2,Yes
QEV-37451-934,2019-08-19,17383-76832-SD11,L-W-7,Mouse,2,Charlie,charlie56@gmail.com,UK,Electronic,Digital,1,13,8,3,No
QEV-37451-935,2020-11-20,17383-76832-SD12,B-N-9,Mouse,6,Helen,helen56@gmail.com,Germany,Electronic,Digital,1,17,12,0,No
QEV-37451-936,2020-08-21,17383-76832-SD13,R-M-1,Mouse,9,Juan,juan56@gmail.com,UK,Electronic,Digital,1,20,15,0,Yes
QEV-37451-937,2019-11-22,17383-76832-SD14,K-T-2,Mouse,4,Doug,doug56@gmail.com,Italy,Electronic,Digital,1,15,10,1,Yes
QEV-37451-938,2020-08-23,21539-63283-UT1,Z-T-3,Phone,6,Helen,helen56@gmail.com,Pakistan,Electronic,Ipone,2,17,12,0,Yes
QEV-37451-939,2019-11-24,21539-63283-UT2,O-P-2,AC,8,Charlie,charlie56@gmail.com,Iceland,Japan Electronic,,340,19,14,0,No
QEV-37451-940,2019-11-25,21539-63283-UT3,R-J-4,AC,4,Doug,doug56@gmail.com,Dubi,Japan Electronic,,340,15,10,1,Yes
QEV-37451-941,2019-11-26,21539-63283-UT4,H-T-9,Washing Machine,5,Juan,juan56@gmail.com,Italy,Japan Electronic,Digital,500,16,11,0,No
QEV-37451-942,2019-11-27,21539-63283-UT5,G-T-8,Camera,3,Helen,helen56@gmail.com,UK,Japan Electronic,Digital,32,14,9,2,Yes
QEV-37451-943,2019-11-28,21539-63283-UT6,L-W-7,AC,6,Smith,smith56@gmail.com,Canada,Japan Electronic,,340,17,12,0,Yes
QEV-37451-944,2019-11-29,21539-63283-UT7,B-N-9,AC,3,Smith,smith56@gmail.com,UK,Japan Electronic,,340,14,9,2,Yes
QEV-37451-945,2019-11-30,21539-63283-UT8,R-J-4,Mouse,5,Hernandez,hernandez56@gmail.com,Germany,Electronic,Digital,1,16,11,0,Yes
QEV-37451-946,2020-08-01,21539-63283-UT9,K-T-2,Fan,5,Smith,smith56@gmail.com,UK,Electronic,,32,16,11,0,Yes
QEV-37451-947,2019-12-02,21539-63283-UT10,O-P-2,Laptop,8,Johnson,johnson56@gmail.com,Dubi,Electronic,Core i5,70,19,14,0,Yes
QEV-37451-948,2019-12-03,21539-63283-UT11,R-M-3,Blub,2,Barnes,barnes56@gmail.com,UK,Electronic,Digital,12,13,8,3,Yes
QEV-37451-949,2019-12-04,21539-63283-UT12,G-T-8,AC,9,Johnson,johnson56@gmail.com,UK,Japan Electronic,,340,20,15,0,Yes
